CH,96609,25433,300567,1027447,135873.9999999964
US,1412461,416856,4452843,14120861,2518370.5999994637
ET,5320,1152,8663,41340,6634.199999999991
AS,97749,23376,211176,901585,130046.79999999645
BU,5798,1259,12338,56011,6173.89999999999
FR,72990,23535,226591,724585,141333.19999999707
AF,37090,14269,176506,416049,107215.09999999878
UK,138093,36524,297713,1190032,207607.69999999405
YM,10763,4899,59603,120767,35616.60000000022
CA,77229,19085,163285,650242,107038.09999999772
JA,37785,7660,74507,387193,42945.600000000195
PK,94698,35513,334134,886532,225183.59999999744
SU,13184,3845,34306,110247,23940.50000000004
GM,42817,9567,84734,412985,57133.60000000048
FJ,6128,1399,16298,60585,8077.099999999997
PO,4184,746,8822,49630,3898.1000000000013
TZ,2982,483,3676,20093,2659.4000000000005
PE,4994,1277,9262,34943,7086.499999999995
CO,6031,1944,13997,45669,12312.699999999992
IN,145421,40562,337963,1284261,222215.399999999
SF,41315,12862,104426,331621,76298.59999999971
DR,1672,378,2897,12137,1895.3000000000004
EI,25893,6038,43973,194933,34531.70000000017
ZI,11768,3221,29130,100463,16096.69999999998
ID,20804,5586,49668,174309,31254.200000000183
IS,189934,77556,1148203,2486386,527178.0000000373
MX,20317,5953,51951,169901,35935.00000000016
RS,122854,40710,518693,1391336,246918.19999999925
NP,13067,2443,19473,151554,13412.400000000014
RP,45533,13359,84697,292755,75935.4999999997
KN,8525,2470,29886,87656,14428.60000000003
SA,21604,6146,63942,192061,35186.40000000033
SY,77726,34729,419272,854378,260029.69999999602
TU,42098,11932,97306,339175,67561.60000000011
TX,2661,727,7568,20316,4846.799999999998
NL,10827,2105,18713,103703,12661.099999999984
SZ,11398,2457,20976,103816,13481.499999999989
SG,2372,447,8272,42649,2452.700000000001
GR,10450,2879,24663,84251,16739.5
AU,4491,857,6668,37677,4560.700000000001
BL,1431,301,2370,12089,1880.6000000000001
BT,1472,225,1562,15455,1395.8999999999999
BM,6554,1441,11192,50723,8802.499999999985
SP,16694,3671,29842,143510,20232.60000000003
AR,6683,1679,14778,66119,10011.799999999985
AE,10044,2091,17205,86059,11711.299999999992
SN,10108,1645,14016,90995,8737.19999999999
NZ,21458,4525,33755,164823,24740.50000000007
CQ,10065,2908,24302,85102,14265.499999999975
SW,6883,1682,15050,52630,9824.399999999998
CI,4277,1009,6588,28616,6044.099999999999
HK,4897,1129,12383,48932,5690.199999999993
TW,7644,1802,17755,67929,9785.499999999989
KZ,3399,413,2760,24353,2353.800000000001
IT,21450,4512,35019,194379,25988.900000000103
JO,9577,2465,18694,76580,15398.499999999976
WE,7024,3041,15981,37131,22766.700000000095
EG,54794,17518,199610,617473,112201.09999999822
ML,2287,692,6952,19054,5041.499999999998
CY,4435,878,5947,32798,4667.399999999997
UP,86333,29840,408117,1109813,202025.4999999978
ES,2520,924,6390,16792,5383.4
KE,21400,6186,53229,175137,33403.10000000024
AJ,12091,3283,22877,81205,21460.500000000036
TH,20287,5104,59720,217594,28631.300000000138
VE,5545,1446,11249,38010,7487.299999999991
KS,22271,4712,54777,276449,26247.500000000236
IR,47505,14637,222219,560530,80069.29999999977
MU,3957,563,5216,33849,3193.4000000000015
BG,14020,4483,38997,121942,27303.600000000093
WS,1441,183,1087,9777,1039.1999999999998
CE,11655,2948,26431,94511,15330.999999999976
BE,9471,1883,16750,85001,11809.999999999984
WA,3450,625,3833,20581,3560.1000000000013
AG,3039,780,6675,22127,5060.3
IC,2447,621,6879,27697,3194.400000000009
VM,19807,4306,32574,146195,27289.500000000116
MY,31647,8263,73582,290071,49181.200000000055
NI,69310,18564,141375,539034,106433.19999999773
NO,6383,1278,8659,49752,7338.499999999989
PL,8356,2113,19520,69619,11798.0
OD,7597,2669,27361,72803,17149.899999999987
BO,6988,987,5731,60026,5746.199999999994
BR,10851,2038,19886,106626,11602.799999999983
CB,8279,2826,30799,80640,14832.999999999998
MD,1504,316,2591,11587,1401.700000000001
RI,2208,434,2987,15350,2548.7000000000016
IZ,127137,48243,620880,1530099,345775.900000012
LE,27613,11234,128593,279194,84497.29999999919
TS,3864,1135,11299,32430,7101.299999999995
QA,11892,2405,22415,115934,12553.199999999968
HR,1977,464,3447,16524,2633.2999999999997
DA,4168,732,5008,30475,4036.8000000000015
GL,440,63,380,2907,321.09999999999997
CU,7085,1404,11015,74632,7091.7999999999865
NS,224,25,220,1642,105.0
ZA,7107,1815,10820,44050,9489.399999999992
GQ,2693,591,6074,23354,3097.4
UZ,2331,494,2871,13401,2893.9000000000005
TD,3939,922,5512,25137,5006.499999999999
SO,13638,4849,46378,112526,34914.90000000006
KT,303,80,758,3238,413.5
NR,529,148,1525,6130,689.0
SI,595,80,798,6916,475.69999999999993
OS,1607,331,2392,12980,1965.100000000001
MO,3291,826,6874,24630,4690.799999999999
GV,8317,1519,23485,103349,8646.399999999989
HU,3383,966,6343,22832,5877.399999999996
EN,2092,218,1264,18771,1246.8000000000006
LY,22234,8433,138015,299649,59078.50000000017
LT,1172,349,6086,17979,2062.1000000000013
LH,2466,555,3877,17812,3153.4999999999995
MV,1278,290,1741,8864,1412.9000000000003
JM,6666,1388,10889,54912,7890.899999999993
LI,17626,3480,64230,262984,21192.900000000027
PM,2463,612,5193,17255,3385.2000000000007
RO,3644,871,6990,27480,4857.899999999998
UG,9215,2210,21692,82224,11885.499999999987
MA,427,95,931,3583,585.1999999999998
AA,217,65,244,1273,353.99999999999994
TO,402,84,647,3118,403.59999999999997
SL,9701,2008,29417,116713,11733.499999999955
BD,850,145,1040,5592,817.6999999999996
EC,2472,499,3984,20247,2633.6000000000004
CT,2192,806,8994,23086,6067.599999999998
HA,3574,816,6211,28090,4750.899999999997
FM,2836,622,4081,30484,3472.5000000000005
AL,1721,518,3055,10148,2859.0000000000014
AM,12341,3093,22027,88881,20792.100000000042
GT,2970,748,6742,23184,4563.8
HO,3195,1015,10155,26062,7614.199999999995
BA,3889,1035,10436,34842,5270.600000000001
GZ,13257,5950,46481,94010,47637.00000000004
BX,2649,428,3562,22482,2048.4000000000005
BF,4276,983,7108,31070,5614.699999999998
BB,1176,182,1330,8478,952.3999999999999
GH,16957,3662,28117,147601,18610.70000000002
BH,1861,465,2677,11910,2940.2999999999997
GA,1936,445,4339,14252,2525.800000000001
BC,2113,504,3441,16769,2584.000000000001
GY,1754,470,3004,10744,3024.899999999999
JE,3176,817,5879,23374,4789.899999999999
GG,2428,572,3378,13180,2772.8999999999996
FI,3736,724,5885,28840,3649.2999999999906
WZ,1769,522,3666,11816,2360.7000000000016
RB,2144,567,3695,12454,3708.000000000001
RQ,4927,1132,8392,37084,5541.599999999998
DO,136,38,432,1427,183.3
UY,876,116,829,7006,552.8999999999999
PU,161,23,197,1157,114.5
CF,2305,595,5859,24665,3771.6999999999994
CG,1002,260,1848,9311,1629.6000000000006
UV,876,96,726,6969,554.5999999999999
MK,1507,280,1555,8102,1544.3000000000002
LU,867,177,1165,5711,1052.5999999999997
BN,1091,277,1995,7932,1315.9
EK,492,103,1774,6236,503.5
MZ,1740,292,2310,14025,1811.1999999999998
AN,21,8,30,99,19.0
CJ,567,131,674,3366,654.7000000000002
AO,2030,236,2042,14525,1405.7000000000003
IV,953,321,5234,16242,1784.1999999999998
CM,2986,1244,15204,31884,9645.699999999997
MT,6515,1668,10648,43521,9311.599999999991
CS,1498,278,1838,10731,1467.5000000000002
RE,168,30,241,972,189.2
GK,181,35,440,1636,208.10000000000002
EZ,4706,967,6652,33867,5133.199999999995
BK,964,343,2156,5393,2382.700000000001
KV,1279,459,3185,7726,2834.8
DJ,785,170,1096,5210,1031.9
GJ,236,30,292,2097,154.70000000000002
MI,1946,415,2953,14396,2074.500000000001
VQ,537,131,1068,4147,689.5
LG,1916,312,1799,12006,1756.4000000000008
ER,732,208,2422,6330,1384.8000000000004
KU,5102,1191,11758,51667,6420.499999999989
VT,753,156,2507,6242,708.0999999999998
KG,2252,307,1916,12667,2017.2000000000003
SC,59,10,56,394,33.0
PA,700,169,1109,4579,893.6999999999999
SE,493,34,232,2932,197.7
LO,1291,240,1573,8092,1261.6
