AS,89685,17036,147778,905823,93418.0999999989
BF,4548,1048,6739,30935,6326.999999999994
US,1282335,343826,3278560,12350550,1991839.199999474
KS,35082,7430,127648,624662,41236.300000000156
IN,111148,37609,310467,921056,194601.3999999988
CY,5375,854,5575,35993,4231.6
IS,80469,26216,220232,692209,155007.19999999832
SL,2127,375,4138,18290,1898.7000000000007
CH,98815,21768,241077,1056256,108648.39999999704
WA,4031,1018,5648,24611,5568.399999999998
VE,7692,2511,21791,60373,14582.399999999987
UK,128942,32774,267547,1093073,181943.7999999953
BG,12048,3695,29817,93634,22118.900000000034
BD,1126,243,2518,10586,1523.3000000000002
HK,4886,969,8006,38584,5109.700000000003
TW,9906,2356,21694,86500,13464.599999999984
MX,21048,5560,58268,202078,34337.20000000016
CU,10456,2315,24843,113823,11706.199999999988
EZ,7056,1344,13706,72596,6744.099999999986
EG,37070,15728,216188,427403,93813.99999999965
SA,19079,4794,45770,183463,27011.80000000016
SP,16771,3894,32076,134537,22650.400000000078
CA,76726,17929,161053,709333,97684.69999999895
CQ,10916,3205,28665,96180,15658.699999999973
PO,3720,704,5545,31331,4152.199999999996
TD,4671,1085,6422,27030,6258.299999999997
GR,12146,2959,27735,105842,16829.099999999995
GT,1939,484,3238,14751,3189.9
ID,17089,3626,32639,145332,19535.000000000044
JO,10982,3025,29526,92474,20226.000000000022
NL,10998,2485,36105,122711,13430.199999999984
SY,48253,20177,273213,568939,146491.69999999806
KE,22894,7757,60799,174700,46213.900000000234
RP,49203,12623,89975,381308,73507.99999999949
BM,6746,1959,17404,54898,12321.99999999999
MY,48635,10013,112177,662424,52379.50000000027
NZ,22867,3960,31939,204299,23267.40000000004
AF,39016,14202,175554,426694,105951.79999999847
PK,76419,27427,253382,661792,170813.79999999638
AE,12048,1925,17735,111452,9646.499999999989
RO,5237,1157,9653,41112,6346.899999999973
RS,140940,46404,566125,1590347,261691.39999999868
SN,9656,1658,14671,95704,8840.399999999987
TH,16845,4754,50985,168118,26897.30000000008
MO,5465,1204,8271,43437,6606.099999999998
TU,41601,11802,97426,329392,62392.199999999975
UP,114434,37493,427229,1355319,225716.10000000012
NI,63692,20706,189246,522054,123689.19999999696
FR,45135,11009,100166,432955,63571.300000000236
IZ,26082,11753,171163,335257,90809.1999999994
SF,39512,12612,111070,320137,74557.59999999986
CS,2202,315,2748,17526,1527.1000000000001
AJ,12133,2011,14045,82756,11780.399999999989
BR,10049,2243,22495,94015,13314.300000000003
HU,4667,957,7810,38875,4960.800000000001
LE,17420,5619,46189,133280,37849.60000000011
ET,6773,1384,13572,56110,8108.499999999988
CI,6361,1523,21304,71699,9622.09999999998
BA,6646,1651,19154,65302,9442.200000000004
NU,1737,538,4183,13273,2428.8
BX,2904,553,4454,25904,2379.7000000000007
UG,9098,2269,16664,62447,12191.999999999989
SZ,21375,3922,29076,209532,18542.399999999994
ZI,11023,3003,23963,83919,15097.899999999972
CM,2602,740,6970,23573,5319.399999999998
MD,2736,410,2705,18008,1994.000000000003
NP,8653,2143,18434,79625,11728.799999999992
GA,2393,398,3881,17904,1987.2000000000012
JM,6134,1616,13526,57032,9683.899999999996
IR,45949,12722,124678,437788,66558.60000000027
GM,38386,7882,72050,370861,44278.100000000304
RI,2148,416,3394,19736,2246.800000000001
EC,2013,526,5532,18534,2603.3999999999996
IT,25926,6092,59748,257975,32819.200000000164
EN,2817,395,2974,22119,2150.0000000000023
SO,12964,4854,40788,105108,33609.20000000011
JA,48878,8719,91393,552196,42667.50000000031
GH,12907,2605,18331,102104,12720.799999999977
EI,31810,7398,54233,242819,40061.50000000025
CB,6753,1929,15597,57206,9915.999999999995
OS,3220,642,4305,26319,3949.0999999999963
VM,15122,2800,21221,103648,17044.300000000003
CE,11152,3107,30547,97932,17014.09999999999
LY,14144,5192,65103,171230,35231.700000000135
KG,3156,637,4990,22603,3576.299999999999
PP,1367,313,2308,11429,1945.9
NR,406,90,1295,4074,479.2
GY,1573,425,2822,10187,2505.9000000000005
RQ,4986,1213,9966,39657,6812.499999999993
HR,2662,723,5822,18996,3722.8000000000025
SU,15334,5036,53267,137833,32044.100000000086
KU,6495,1245,18014,81257,6370.699999999992
KZ,4928,714,6412,38770,3624.299999999999
MT,6060,1191,8244,43991,5832.0999999999985
LA,1053,153,1133,9285,890.6
LT,535,166,1731,5413,958.8
WZ,1698,604,5894,18513,2872.2999999999997
MG,1938,282,2279,15171,1631.700000000001
MR,905,122,1081,8855,685.6
PL,12835,2055,17977,119965,11884.700000000072
PE,5306,1299,13970,49859,7171.099999999992
KN,11060,3512,46163,132058,20069.900000000052
WE,6347,2084,11719,35701,13778.999999999987
QA,7766,1262,10785,75731,5779.499999999995
SG,1971,462,7438,28342,2459.9000000000005
FI,3779,640,4653,32187,3024.300000000004
SW,7475,1576,13199,58998,9505.799999999992
CD,2462,663,7833,24888,3951.2999999999993
BC,1328,239,1791,9206,1150.8999999999999
UY,1148,220,2271,10791,900.9999999999999
CO,7229,1643,13278,59637,10184.099999999997
WS,975,197,1223,6172,883.3
YM,11491,5517,79149,146937,42547.000000000065
DR,1639,403,2485,11123,2150.8000000000006
NO,6214,1235,8768,48358,6664.699999999991
EK,213,50,298,1778,240.89999999999998
BE,12078,2192,18931,110366,12180.099999999973
AL,2073,553,4850,16351,2820.800000000001
FJ,4062,734,5877,36367,3774.099999999999
CT,5657,1913,26666,72495,14341.599999999991
MJ,204,22,136,1205,105.0
OD,11722,5369,62675,128532,37532.20000000009
BK,783,289,2966,6158,1599.0
RW,7597,2416,23422,68958,15011.19999999998
DA,3822,642,4974,27772,3299.8
RB,2254,577,3779,15336,3405.400000000002
TZ,3534,575,3242,21825,2998.4000000000015
AU,7244,1096,9544,60923,5528.400000000001
PA,660,165,1631,5127,1143.3
AR,5740,1329,11756,48679,7816.999999999986
ZA,8453,1956,13243,55517,9648.799999999974
MV,997,189,1344,7329,891.1999999999998
LO,2171,399,2306,16053,2063.3000000000015
AM,15342,3460,24032,128458,20459.900000000005
BU,7734,1494,12741,71168,7742.899999999988
CG,1078,341,3439,9326,2492.600000000001
ER,806,277,1455,4544,1630.9000000000003
KV,1421,405,2901,10294,2303.6000000000004
MZ,1717,396,3037,11442,2491.6000000000004
TN,323,184,1577,2626,1223.0
PM,2707,670,6396,20050,3567.500000000001
LG,2391,335,2227,16906,1940.0000000000034
UZ,2001,343,2001,11119,1768.1000000000004
LU,1708,367,3877,21218,1710.7999999999995
MH,31,15,565,675,135.0
AG,6384,2384,35478,76606,15871.499999999984
BB,1349,220,2141,13491,1208.3
MU,4457,569,5170,35915,2974.3000000000015
BO,5337,757,4877,35248,4062.500000000001
GQ,2565,581,5045,24234,3122.1000000000013
AC,234,27,174,1383,195.9
FM,2582,570,3655,23731,3024.400000000001
HA,3064,502,3741,24529,2916.500000000002
MP,896,157,1165,8003,730.0
GV,2905,592,6996,36555,3458.9
MC,278,62,408,1625,287.0
GG,2725,499,2834,13178,2667.7000000000007
ML,2412,678,7294,25468,4969.799999999997
LI,3396,654,10262,36676,3518.800000000001
AO,2819,311,2241,22785,1748.3000000000002
KT,58,5,146,799,17.0
BN,946,196,1182,6141,1126.4
UV,522,72,584,4919,437.8
BH,1769,463,2825,11108,3215.5999999999985
