RS,110122,32386,374446,1160480,186547.29999999836
US,1440268,410356,4249968,14098300,2444957.8999993745
CA,87070,19981,174078,758637,112221.69999999808
IR,66784,19770,323938,827822,100227.69999999819
CQ,10968,3047,27427,99744,14220.099999999966
MY,30965,7960,65545,254355,42242.30000000025
CH,115934,27768,335357,1235559,149696.1999999974
SF,48494,15099,137977,407282,91871.3999999994
KE,28385,8794,74726,233437,52269.20000000027
FR,107525,34497,351514,1124910,206078.09999999634
AE,13982,2987,25868,124367,18581.800000000017
AS,112249,28954,290763,1073612,169028.3999999951
BE,12228,2742,27681,109746,16676.29999999997
BR,11190,2429,23545,105337,14042.799999999985
KS,15109,3039,31075,137482,16083.89999999998
NZ,23363,5134,41193,193658,28275.400000000118
SZ,12042,2274,19664,106137,11805.999999999969
IN,168797,42223,360613,1576505,225970.4999999999
RP,49279,13929,93386,321257,78570.49999999914
UK,188930,51102,478457,1833722,288477.3999999973
KV,1130,394,3446,8658,2289.2000000000016
AL,4643,940,16026,68970,4860.699999999999
IT,25437,5213,45063,228875,29245.500000000182
EZ,7382,1342,9612,61309,7145.999999999988
GM,43560,10053,100651,403324,56832.000000000306
UG,9213,2250,15449,65118,13162.999999999985
NP,9589,1992,15580,85575,11093.899999999996
FI,3568,549,4436,25998,2420.500000000001
CE,15806,3049,26604,133700,16150.599999999995
PK,94396,35051,322219,845054,224646.99999999857
NI,90331,25701,203080,680833,156502.69999999713
MX,25101,6622,63897,223573,40957.80000000032
EG,41115,13135,145494,391905,79447.39999999992
PE,6056,1507,15442,57522,9565.299999999992
SN,10792,1801,14937,90087,9513.199999999972
WZ,1491,375,2193,8679,1762.7000000000005
PL,10520,2242,18515,89174,13268.5
UP,74087,21374,258079,892273,134503.99999999703
CB,7514,2048,15600,60916,11354.099999999993
FO,174,54,366,937,347.4
ET,6524,1151,8944,48357,6692.299999999995
SO,18780,6803,69331,173766,49510.60000000022
ER,1156,339,2526,8145,1760.900000000001
TH,19710,5266,52440,188199,31332.500000000146
GH,17749,3643,29391,153523,18920.900000000005
AM,12287,2176,13129,91555,12233.199999999993
AC,200,47,429,1655,334.4
SY,121682,50797,608684,1365970,368083.30000002065
BG,18371,5093,43150,145801,30091.50000000013
BO,8587,1129,7380,89652,6528.699999999987
EI,30078,7069,52639,229365,38881.70000000022
JA,40187,6693,66825,401782,36977.40000000011
ID,17407,4424,33395,131843,23331.300000000094
TW,8636,1910,18000,70859,10143.599999999982
JE,3738,952,6652,25943,5804.899999999995
RO,4520,794,7956,36802,3782.800000000002
ZI,11197,2995,21096,82630,16272.800000000003
QA,12813,2735,27429,125608,13693.499999999973
HU,4525,957,7724,32362,5235.2999999999965
VT,1118,266,2764,8149,1202.8
DR,1933,666,6600,15929,3218.400000000002
PM,2113,527,2772,13997,2826.9
IS,92433,32780,288583,765274,204593.8999999979
MT,8019,1806,12250,59652,10166.699999999988
TX,2595,371,3716,18009,2511.6
AG,7166,2773,25310,67200,20377.700000000033
WS,1926,236,1319,12470,1084.6
OD,5198,1874,19046,46019,11940.199999999995
NL,12640,2691,26054,113079,15784.699999999992
AF,45534,15489,176149,503829,111147.49999999827
ZA,7569,1780,10053,48432,8320.799999999987
BM,6535,1817,14089,48793,10845.099999999993
SA,32994,8251,74509,320422,47954.70000000019
BD,576,103,660,3670,630.5
SW,8728,1569,16167,79151,8103.599999999986
CO,7241,2253,18080,58333,12751.599999999999
JO,16061,3979,35275,144122,24417.600000000082
VM,17556,3248,24085,132989,20074.800000000047
TU,64103,18409,204946,678261,117078.19999999768
GR,12756,2930,19558,91835,16177.799999999992
JM,7132,1453,11703,59890,8912.899999999989
KU,6817,1201,10888,60831,6516.099999999992
WA,4070,918,5327,25066,4730.300000000001
VE,5592,1729,14604,43721,8942.599999999986
SP,23919,5931,55382,219372,31659.400000000267
FM,3847,860,5780,37343,4652.299999999999
MU,3862,547,5200,33825,2705.700000000002
CU,7364,1703,17229,69952,9137.99999999999
PP,1337,380,2657,9765,2198.7000000000007
EN,6518,1267,9536,86680,7165.799999999992
RW,3637,1025,7421,25999,6111.099999999996
TS,3300,864,8031,24257,5605.799999999998
MZ,1936,387,3908,18214,2332.800000000001
LT,4589,1030,11459,48344,5827.899999999995
MK,1968,338,1932,12369,1675.7000000000014
RQ,4895,1189,8476,34229,5725.999999999997
LE,22806,8651,77450,196687,61229.500000000204
CI,5127,1406,15571,47597,9023.599999999991
GG,2482,407,2518,12880,2277.100000000001
IZ,115966,44437,544957,1324976,316615.20000001177
FJ,8558,1939,21746,99395,11752.499999999996
GQ,2051,480,4911,18609,2653.400000000001
AR,6032,1390,12210,49038,7016.199999999981
BF,4985,1154,8210,34097,6108.0999999999985
HK,12317,4531,71881,163592,26500.10000000004
BB,1320,208,1485,9511,1070.6
CY,7808,1197,9815,65399,6504.099999999994
NR,519,121,1074,5490,646.8
MI,2464,500,3435,16508,2511.0000000000005
BA,7481,1938,15268,62023,11229.799999999994
KN,11462,3249,45393,150598,16728.4
LY,15662,6108,79003,181058,41998.1000000002
YM,18078,8278,110031,230032,60804.60000000012
NG,2068,381,3257,15271,2157.2000000000016
PS,293,51,473,1835,252.9
NE,22,0,0,160,0
CW,112,18,127,903,62.0
NH,243,32,149,1448,167.0
ES,1891,588,4028,13611,3263.400000000001
TD,3656,901,5661,23134,5216.699999999995
GT,2592,786,6407,19612,4463.699999999999
MO,3896,1012,8924,31220,5830.599999999997
KG,2476,367,2205,14510,1912.2000000000012
AJ,12828,1985,13159,92188,11593.199999999995
AU,6539,1045,9440,54025,5478.899999999995
BU,5697,1099,10369,51483,5587.399999999998
CF,1994,478,5420,19075,2774.6
LI,12084,2123,28279,176896,12687.399999999941
VQ,657,152,1438,5329,757.9
GZ,3120,1087,10198,25903,7655.799999999996
WE,5587,2168,13391,37237,14166.800000000005
TZ,4349,709,4714,27387,3865.0000000000045
MN,489,76,667,3472,373.70000000000005
NO,7540,1366,8956,56727,7515.5999999999885
GV,4805,1222,16489,60766,8205.099999999986
MG,2014,131,852,15577,714.8000000000001
UY,1787,208,2036,15267,1256.9999999999998
LH,3311,501,3050,28423,2707.0
MD,1589,184,1122,9395,969.1999999999997
TT,602,111,757,4162,663.5000000000002
BK,1146,407,3622,8726,2535.1000000000004
RB,3124,757,7526,23489,4885.6
CM,4108,1519,16118,38386,11898.899999999994
TI,4962,532,3258,35832,3240.700000000002
SU,13715,4021,37096,115940,22743.30000000004
SL,7345,1333,17835,88345,7472.99999999999
NS,222,27,127,1626,134.4
GA,2166,494,5017,17626,2343.8000000000025
BT,1283,194,1220,7970,991.1999999999999
BC,2617,764,5606,17966,3852.699999999999
TN,413,98,698,2643,627.9
DA,8565,1218,11337,82229,7658.899999999988
ML,2878,808,8974,27976,5462.099999999997
GY,1591,384,1983,9048,2106.3
EK,434,34,232,3669,165.8
BN,1456,219,1597,11762,1059.8
AO,2241,296,2510,15120,1735.8000000000009
BY,1138,388,3436,8973,2574.1000000000004
UV,465,32,216,4035,202.0
BL,1914,431,3379,13344,2863.600000000001
BX,1684,346,2212,9928,1510.200000000001
OS,2377,587,4613,19048,4075.1000000000026
RI,2693,537,4738,20879,3123.300000000002
SG,2464,375,4028,36752,2079.5000000000014
KZ,4671,474,3514,30261,2504.1
MP,1004,147,1112,7291,874.9999999999999
CT,2035,690,8256,23701,5158.399999999988
HA,3275,669,6220,24836,3851.8000000000006
IC,2166,459,3716,17052,2481.4
NU,1702,274,1973,16380,1499.8000000000006
IV,1116,275,3783,11705,1510.1
CG,803,162,1867,7029,961.9999999999998
PO,3880,595,5740,34173,3115.7999999999997
CV,147,18,141,858,145.5
CS,1554,272,1558,9833,1437.6000000000001
BH,1941,625,3342,11514,3782.499999999999
MV,2370,277,2114,28105,1281.1
LA,1567,213,1789,13005,999.4999999999999
HR,2884,715,4974,21546,4209.0
GL,585,109,1037,4595,554.1999999999998
CJ,571,93,530,3408,457.7999999999999
DJ,913,332,2718,6106,2974.2000000000007
EC,1579,379,2325,9700,2120.3
SI,904,143,1345,8713,744.7999999999998
GI,354,61,351,2455,254.4
MH,103,19,121,775,98.0
VI,46,1,1,241,5.0
GK,161,34,239,1486,162.1
OC,292,48,271,2902,311.7
UZ,2729,637,4078,16704,3789.0999999999995
GJ,224,38,238,1357,205.3
MJ,293,42,235,2100,228.00000000000003
SE,598,47,388,4211,256.4
KR,219,54,426,2189,403.4
LG,2552,469,3421,16752,2712.899999999999
MR,560,139,852,3654,727.3
AY,274,38,330,2242,235.5
WQ,70,15,359,2706,102.0
LO,1427,283,1785,9242,1349.7
CD,2931,655,5444,21513,4149.400000000001
MC,615,118,876,4346,553.5999999999999
VC,124,19,206,862,73.80000000000001
MA,482,65,425,3464,339.19999999999976
LU,1643,297,3876,14130,1511.6000000000001
GB,304,41,276,2594,186.30000000000004
TP,19,0,0,111,0
TO,280,43,347,2092,231.5
PU,230,70,770,1840,299.0
HO,2526,663,6973,23563,4132.400000000001
RE,157,25,145,939,122.00000000000001
BP,273,39,192,1523,249.3
TK,5,0,0,38,0
RM,459,78,542,3602,425.40000000000003
MB,31,2,6,158,7.0
SH,17,2,22,96,14.0
PA,1108,464,4769,10164,2049.0
WI,272,57,374,1614,258.4
YI,66,27,157,1241,157.0
ST,165,18,107,1252,74.9
AA,164,28,169,1000,155.0
AQ,118,21,83,1216,76.0
LS,72,19,84,462,79.4
KT,170,25,171,1160,139.0
CN,203,80,245,720,341.2
NC,63,3,6,404,6.0
PF,30,11,100,331,68.8
SV,56,6,81,440,24.0
PC,22,1,10,131,5.0
TV,93,9,49,595,52.4
FP,44,12,38,173,80.10000000000001
TL,34,2,15,130,10.5
PG,33,23,104,132,101.4
GP,25,2,12,149,10.0
DO,129,17,122,656,114.4
RN,10,0,0,64,0
FK,8,0,0,29,0
MF,12,5,12,36,16.0
LQ,2,1,2,10,4.4
AV,23,0,0,162,0
DQ,4,0,0,62,0
AN,96,7,78,740,19.2
FG,56,6,42,538,44.900000000000006
SC,52,12,109,411,59.2
IO,3,2,4,14,4.0
NF,34,7,51,265,32.8
IM,12,4,30,71,19.4
SM,30,16,133,273,32.0
JN,1,0,0,8,0
JQ,2,0,0,20,0
SB,1,0,0,20,0
NT,6,0,0,28,0
