CT,2480,960,11287,26271,7357.5999999999985
CF,1961,621,8504,23793,3862.4999999999995
CA,85716,21614,209390,810923,127141.49999999782
US,1420761,430205,4936685,15522689,2623280.799999521
AS,105216,28238,360817,1313710,170042.19999999786
IS,102755,37849,393780,983572,237157.9999999995
RP,47863,13711,90572,328518,80318.69999999907
HU,5424,1312,13410,50481,6335.699999999997
SF,40583,12524,101260,327641,80177.0999999995
AE,15077,2854,24599,127243,16354.099999999993
BO,7903,1298,12789,71840,6317.299999999993
RS,87383,24465,330766,978477,136497.69999999632
HK,9956,3377,62573,143113,20020.200000000008
TW,8718,1917,16596,71662,9331.899999999987
IN,165535,50642,516733,1630768,279723.00000000687
ZA,7315,1874,10760,42339,9159.599999999984
EI,29147,6991,57407,242290,38794.80000000019
CH,97230,23633,282185,1038169,124774.49999999761
NZ,19842,4387,35290,157154,23848.500000000084
SY,55737,22231,267658,613818,164101.9999999986
UK,142715,38100,333976,1291945,218398.79999999524
AF,44610,16851,261186,581985,124634.19999999812
CU,45844,9647,139586,725730,47065.00000000025
MY,36503,9095,87280,341139,50897.6
TU,51062,15788,148495,454206,88562.39999999972
SP,17319,3984,38936,167658,21865.20000000004
EG,35345,13246,168474,369060,79467.19999999968
FJ,3984,528,3315,25093,2771.300000000001
JA,30512,6314,61597,302275,36384.40000000015
FR,49634,13142,148275,539702,80353.6999999992
GM,39621,10372,97374,370930,61955.80000000019
TH,19485,4828,48878,200966,27328.30000000014
KS,21368,4929,68315,242425,23379.80000000007
ID,33902,6630,73341,521586,36628.90000000017
LA,1700,266,2045,12084,1508.0000000000005
KN,20007,7881,126529,304595,40461.80000000044
BG,20275,6380,56783,162984,37476.50000000005
KE,27496,9679,105827,269914,60356.100000000166
EZ,4296,932,6377,32248,4868.1
SA,21749,6632,76884,208967,40054.40000000019
NH,236,15,69,1272,84.0
BU,6745,1303,12195,68096,6387.7
PK,123101,54663,739799,1453489,363799.8000000104
NI,87824,27354,224145,677642,155413.999999996
CO,6743,1877,16514,53889,11718.299999999996
PE,11029,2021,21200,122114,11103.699999999984
PL,9460,2172,20550,78964,13087.199999999992
RW,3812,858,5546,24897,4869.099999999995
OD,5086,1736,18086,44905,11459.199999999995
VM,16480,3876,31001,123024,24112.600000000057
IZ,54885,21692,276328,602822,167024.09999999873
BE,12554,2613,25401,119342,15910.199999999968
BC,2527,648,3741,15713,3061.1000000000004
NL,10948,2596,19449,88818,14755.899999999989
RO,5295,1074,11034,46744,6080.999999999995
QA,12816,1851,16359,114048,9554.399999999989
SE,542,67,402,3204,333.5999999999999
AR,5560,1288,10604,46511,6555.9999999999945
AM,10000,1940,12884,86445,11622.299999999987
SN,13451,2194,22002,174532,11927.400000000014
CE,14131,3558,33293,129893,18000.70000000002
AU,5698,1327,10252,43729,7104.199999999996
BF,4031,933,5661,24973,5816.9
BR,10170,2590,31500,95539,15067.799999999988
ZI,12988,4179,31976,96598,20589.40000000004
OS,2977,523,4196,33766,2895.800000000001
IR,39984,12861,143842,394086,77703.49999999924
BA,8649,2650,38431,101036,15044.199999999983
SI,625,120,1130,5184,627.7999999999998
GQ,2088,457,3468,16186,2361.3000000000006
CI,3748,953,9283,32251,5612.099999999999
KG,2957,319,2398,21573,1648.3000000000004
CM,3464,1561,20156,37153,12844.200000000004
UZ,2003,679,10799,22367,4598.299999999999
TZ,5283,1113,7320,32775,5603.499999999996
KU,6257,1084,9444,56522,6013.199999999996
GA,3403,927,9885,31812,4869.799999999999
GH,17780,4178,32350,142041,20266.300000000094
KZ,5146,435,3167,40554,2404.3
UG,10354,2721,24532,82136,15865.19999999999
VE,7211,2231,19843,65073,12031.799999999987
MX,25200,8290,87195,246770,53923.40000000012
UV,1093,285,2436,8513,1749.8000000000002
SO,13088,5065,71705,147934,37800.20000000019
GR,21038,5329,67939,277656,32361.50000000034
CG,1183,400,4711,11264,2831.3
HR,2279,501,4204,18534,2459.800000000001
DA,5223,1247,13893,45904,7261.899999999989
GL,457,72,485,4063,440.2999999999999
CB,6899,1922,16802,68119,11124.600000000006
NO,6819,1451,13461,55673,8486.099999999993
UY,3240,770,9428,38050,4838.599999999995
SU,14398,4993,50937,132584,29816.20000000012
IT,30106,6499,62682,331248,37174.20000000017
PO,3757,668,5612,29784,3693.8000000000006
RQ,3678,820,5984,27665,4349.100000000002
FI,3616,622,4715,26083,3117.8000000000025
LE,21022,7084,71615,180325,47809.80000000004
LI,7863,1469,12747,76338,7937.799999999985
UP,38364,9733,170647,518579,58983.900000000154
LH,2163,437,2784,13528,2467.3000000000006
EN,1926,362,2350,11688,1865.1000000000008
NP,8788,1961,17689,77114,10402.799999999988
PA,735,288,2308,4946,1735.3000000000002
MU,4375,643,7193,41569,3074.3999999999955
CW,70,15,56,420,75.0
RM,391,104,957,3126,481.29999999999995
BP,371,80,882,2721,401.7
TS,5849,1844,24519,71017,11168.799999999985
JE,4410,1394,11272,34738,8655.999999999995
BY,945,337,4972,10313,2577.000000000001
HA,4869,1259,22877,68349,7856.59999999999
WA,3059,802,5224,21336,4348.300000000002
PP,930,191,1882,8772,1031.7
CQ,6145,1754,15796,54664,8732.499999999987
ET,5379,1011,7278,41786,5869.800000000001
DR,1603,415,2873,10768,2293.7000000000003
SZ,12961,3151,27349,111049,17476.800000000003
JM,6458,1530,11312,52439,9361.099999999982
RB,2966,647,4938,22107,3694.400000000002
MO,4725,1270,11841,41770,7022.199999999989
WE,8697,3390,21722,58318,23763.500000000044
GZ,2503,1197,9591,19378,8751.699999999995
LY,11561,4898,63118,128517,37524.200000000055
SW,9514,2638,25522,80978,16472.100000000013
BM,6108,2118,19668,51710,12979.2
AG,4675,1493,17355,42365,10876.099999999988
KR,138,38,431,1328,307.59999999999997
TX,1473,136,765,12139,944.1000000000001
WZ,1193,328,1913,7455,1793.8000000000006
CJ,620,139,902,3590,879.8
FM,2019,523,3098,20988,2871.300000000001
JO,15220,4425,47845,160828,28414.600000000075
BB,1143,191,1377,10295,960.6999999999999
TN,217,45,261,1758,169.60000000000002
SG,2359,320,3203,24093,1624.7000000000005
BN,1126,317,2427,8204,1859.0000000000007
IV,1221,413,4645,12517,2190.7000000000003
ML,3650,808,7585,33966,5947.099999999995
DO,279,27,187,1625,136.0
MI,2577,559,3916,18575,2728.0000000000005
GY,1454,383,2543,8872,2301.8
NS,187,34,283,1305,225.0
TO,592,26,223,4408,169.4
GV,2854,477,6141,32305,3025.7000000000016
SL,6569,878,12175,83013,4838.899999999998
MD,1535,277,1924,11562,1287.2999999999997
TD,4006,939,5808,25546,5533.499999999996
NG,2270,443,3864,19875,3243.1999999999985
AJ,9515,2085,22486,85498,11729.100000000004
GG,2699,440,2397,13044,2193.7000000000003
MT,5961,1378,7929,38088,7628.499999999993
RN,60,10,43,633,45.0
BH,1582,396,2570,10673,2523.5000000000005
BX,2341,447,3017,15530,2268.4000000000015
