US,1390766,389856,3827517,13546942,2266853.999999426
UK,146655,37909,306880,1217856,210297.79999999417
IS,275217,125497,2082780,3917473,873891.2000000327
TU,41334,12162,90750,307092,65870.7000000002
SO,13152,5486,54878,118440,40235.30000000011
TH,19752,5275,51201,186488,30555.10000000016
AS,100551,23267,204709,921660,130150.59999999673
RP,47242,14302,100737,313980,82562.79999999909
UG,11782,3703,36823,101483,22804.200000000117
CH,100014,24334,267372,1029493,129348.69999999634
IN,145410,42286,346446,1278363,236150.59999999963
ID,18760,4340,42600,175152,22851.800000000123
SF,41692,12202,90199,317204,71796.09999999996
IZ,77758,29125,351763,877076,202481.9999999971
CD,2172,644,4595,15768,4158.2
MY,51530,15466,175826,639233,104574.7999999992
NZ,23642,4937,41114,195138,26299.1000000001
NI,73489,23151,203125,590539,138970.1999999967
EN,1703,288,1692,9544,1793.9000000000003
FR,74891,22761,247646,786448,137368.59999999776
SN,9138,1680,16026,81590,8600.499999999995
GG,3317,687,5514,19384,3741.5000000000014
JA,39188,8283,81867,366807,46310.600000000086
PK,80635,29731,256773,653257,198515.09999999937
EI,29531,7057,53848,224200,39179.40000000012
TZ,3912,775,5342,25075,4418.3
GT,7129,1515,13771,77893,9523.899999999985
LE,17866,7094,60815,138540,49614.600000000144
AR,8058,1463,14851,82414,7919.999999999998
KS,20737,4738,57791,227747,27036.900000000198
MX,26895,6721,63006,253092,41701.499999999985
GR,11996,3032,27139,100021,17595.29999999998
NL,25838,5492,47420,298189,34635.10000000012
LH,2098,497,3744,16284,2696.1999999999994
NO,6086,1311,11274,56134,7634.199999999975
PM,2740,610,4946,22842,3502.8999999999983
RS,130861,46757,615875,1573564,290092.4000000017
TW,9072,1740,18526,92514,10226.899999999983
ZA,8598,2075,12898,57690,9624.299999999976
EG,57532,18737,200017,594885,117086.89999999867
TS,5250,1924,22698,50923,13438.999999999995
AF,44520,16421,197516,478808,117484.29999999834
AO,2224,291,1773,15014,1574.9000000000008
YM,8027,3812,41725,84209,28298.300000000083
AE,10210,1929,15233,85600,10521.499999999982
AM,10511,2243,13521,81405,14935.099999999995
KT,465,104,1185,4353,412.59999999999997
EZ,5212,1106,11230,42552,6534.599999999988
UP,110541,43457,595922,1450765,303122.9000000046
MD,1829,359,2124,11681,1822.2000000000003
BG,10500,3034,21592,75047,17782.500000000007
BB,1294,193,1777,11989,930.8
SP,17692,3918,33878,151862,22265.40000000009
LI,7244,1622,21687,81199,8847.699999999983
IR,47954,13914,209212,543593,76177.89999999983
CY,4872,922,6052,33184,4767.999999999998
CA,94129,23145,188699,801436,128992.5999999971
SZ,12009,2395,19899,113101,13222.899999999994
CI,4994,1615,15288,40349,10513.199999999997
KN,10666,3587,45112,123809,23412.60000000014
MC,473,101,771,3158,418.59999999999997
CM,3362,1202,22059,45531,9324.399999999989
CU,8495,1692,14479,74409,8537.399999999994
IT,28422,5865,54867,287527,31961.70000000011
GM,47559,9923,87907,456977,55385.50000000011
DR,2483,494,3457,17662,2550.0000000000005
AG,6616,1561,16854,86360,11289.199999999993
BR,12877,1604,13354,115696,8454.599999999986
QA,12794,2259,25503,138077,11609.399999999994
ET,6472,1872,16111,52719,10642.599999999999
SG,1547,261,3708,15547,1392.1000000000001
CT,2857,935,9477,27908,6547.099999999996
FM,3002,533,3108,31923,2905.0999999999995
HK,6286,1462,14544,53552,7688.399999999995
KE,24974,8846,92861,229250,53917.80000000019
LA,1121,197,1170,8106,1182.6000000000001
JO,11431,2988,23257,90423,17912.49999999999
BM,9418,3293,43678,97587,20198.000000000025
SA,18678,5402,43135,147085,31890.000000000182
MK,1886,623,5597,15244,3962.000000000001
